Behavior,Previous History (Why are they doing this)
Rebellious,They have a long history of violence and a bad reputation
Extremely manipulative ,Working to pay off a debt
Very rude,They are from another country
Acts chill,They are a wanted person
Cold professional,Faked their death
Simps for the faction leader,Has previous henching experience
Substance abuser,Born into crime
Forgetful,Needs protection
Paranoid,History of extreme activism
Snotty,Wants revenge on a rival gang
Stubborn,Nowhere to go
Cowardly,Was dishonorably discharged
Suffers from PTSD,Knows a friend under your employ
Kind,Cape nerd
Helpful,Adrenaline Junky
Twitchy,Found on craigslist
Violent,Gun nut
Slimy,Known sociopath
Toxic,Lost everything to capes
Touchy,Disfigured
Perfectionist,In too deep
Cocky,Impossible goals
Dense,Terminal disease
Know-it-all,Hedonist
Nerdy,Illiterate
Weeaboo,"Went big, isn't going home yet"
Basic,Tied down
Spiteful,Married into crime
Brotherly,Claims they were framed
Gearhead,Can't find friends elsewhere
Gym rat,Peer pressured into henching
Vegan,Wants to look cool
Obsessive,Wants to impress chicks/hunks
Compulsive liar,Doesn't speak english
Edgy,Cannibal
Chuuni,Punched up a cop
Delusional,Burns Bridges
Poser,Ex-child actor
Religious,Peaked in high school
Gluttonous,Single parent
